disease,diseaseClass,genes
Obesity,Nutritional and Metabolic ; Pathological Conditions,BCDIN3D
CENTRAL HYPOVENTILATION SYNDROME-CONGENITAL,Respiratory Tract ; Nervous System ,BDNF
Alzheimer Disease,Nervous System ; Mental Disorders,BDNF
Amphetamine-Related Disorders,Substance-Related Disorders; Mental Disorders,BDNF
Anorexia Nervosa,Mental Disorders,BDNF
Autistic Disorder,Mental Disorders,BDNF
Bipolar Disorder,Mental Disorders,BDNF
Brain Injuries,Nervous System ; Wounds and Injuries,BDNF
Bulimia Nervosa,Mental Disorders,BDNF
Cocaine-Related Disorders,Substance-Related Disorders; Mental Disorders,BDNF
Deafness,Otorhinolaryngologic ; Nervous System ; Pathological Conditions,BDNF
Depressive Disorder,Mental Disorders,BDNF
Epilepsy,Nervous System ,BDNF
Epilepsy-Tonic-Clonic,Nervous System ,BDNF
Gliosis,Pathological Conditions,BDNF
Heroin Dependence,Substance-Related Disorders; Mental Disorders,BDNF
Inflammation,Pathological Conditions,BDNF
Intellectual Disability,Nervous System ; Pathological Conditions; Behavior and Behavior Mechanisms; Mental Disorders,BDNF
Nerve Degeneration,Pathological Conditions,BDNF
Obesity-Morbid,Nutritional and Metabolic ; Pathological Conditions,BDNF
Obsessive-Compulsive Disorder,Mental Disorders,BDNF
Psychotic Disorders,Mental Disorders,BDNF
Schizophrenia,Mental Disorders,BDNF
Seizures,Nervous System ; Pathological Conditions,BDNF
Status Epilepticus,Nervous System ,BDNF
Stomach Neoplasms, Digestive System ,BDNF
Substance Withdrawal Syndrome,Substance-Related Disorders; Mental Disorders,BDNF
TOBACCO ADDICTION-SUSCEPTIBILITY TO,Substance-Related Disorders; Mental Disorders,BDNF
Tobacco Use Disorder,Substance-Related Disorders; Mental Disorders,BDNF
WILMS TUMOR-ANIRIDIA-GENITOURINARY ANOMALIES-MENTAL RETARDATION-AND OBESITY SYNDROME,Nutritional and Metabolic ; Pathological Conditions;  Nervous System ; Eye ; Urogenital; Congenital-Hereditary-and Neonatal  and Abnormalities; Endocrine System ,BDNF
Parkinson Disease,Nervous System ,BDNF
Epilepsies-Partial,Nervous System ,BDNF
Mood Disorders,Mental Disorders,BDNF
Eating Disorders,Mental Disorders,BDNF
Alcoholism,Substance-Related Disorders; Mental Disorders,BDNF
Anxiety Disorders,Mental Disorders,BDNF
Multiple System Atrophy,Nervous System ,BDNF
Substance-Related Disorders,Substance-Related Disorders; Mental Disorders,BDNF
Weight Loss,Pathological Conditions,BDNF
Anorexia,Pathological Conditions,BDNF
Bulimia,Pathological Conditions,BDNF
Parkinsonian Disorders,Nervous System ,BDNF
Lupus Erythematosus-Systemic,Skin and Connective Tissue ; Immune System ,BDNF
Lupus Vasculitis-Central Nervous System,Nervous System ; Cardiovascular ; Skin and Connective Tissue ; Immune System ,BDNF
Cognition Disorders,Mental Disorders,BDNF
Weight Gain,Pathological Conditions,BDNF
Mental Disorders,Mental Disorders,BDNF
Atrophy,Pathological Conditions,BDNF
Depressive Disorder-Major,Mental Disorders,BDNF
Angina-Unstable,Cardiovascular ; Pathological Conditions,BDNF
Coronary Artery Disease,Cardiovascular ,BDNF
Fragile X Syndrome,Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities,BDNF
Obesity,Nutritional and Metabolic ; Pathological Conditions,BDNF
Rett Syndrome,Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities,BDNF
Dermatitis-Atopic,Congenital-Hereditary-and Neonatal  and Abnormalities; Skin and Connective Tissue ; Immune System ,BDNF
Multiple Sclerosis,Nervous System ; Immune System ,BDNF
Huntington Disease,Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities; Mental Disorders,BDNF
Sjogren's Syndrome,Musculoskeletal ; Stomatognathic ; Eye ; Skin and Connective Tissue ; Immune System ,BDNF
Pulmonary Fibrosis,Respiratory Tract ,BDNF
Asthma,Respiratory Tract ; Immune System ,BDNF
Disease Progression,Pathological Conditions,BDNF
Migraine Disorders,Nervous System ,BDNF
Seizures-Febrile,Nervous System ,BDNF
Dementia,Nervous System ; Mental Disorders,BDNF
Subarachnoid Hemorrhage,Nervous System ; Cardiovascular ; Pathological Conditions,BDNF
Dyskinesias,Nervous System ; Pathological Conditions,BDNF
Fibromyalgia,Musculoskeletal ; Nervous System ,BDNF
Pneumonia,Respiratory Tract ,BDNF
WAGR Syndrome, Nervous System ; Eye ; Urogenital; Congenital-Hereditary-and Neonatal  and Abnormalities; Endocrine System ,BDNF
Lung Diseases-Interstitial,Respiratory Tract ,BDNF
Hypoventilation,Respiratory Tract ; Pathological Conditions,BDNF
Multiple Sclerosis-Relapsing-Remitting,Nervous System ; Immune System ,BDNF
Attention Deficit Disorder with Hyperactivity,Mental Disorders,BDNF
Hyperphagia,Pathological Conditions,BDNF
Hyperinsulinism,Nutritional and Metabolic ,CETN3
Insulin Resistance,Nutritional and Metabolic ,CETN3
Obesity,Nutritional and Metabolic ; Pathological Conditions,CHST8
Cardiovascular Diseases,Cardiovascular ,CPVL
Liver Neoplasms, Digestive System ,DCD
Prostatic Neoplasms, Male Urogenital ,DCD
Infection,Bacterial Infections and Mycoses,DCD
Dermatitis-Atopic,Congenital-Hereditary-and Neonatal  and Abnormalities; Skin and Connective Tissue ; Immune System ,DCD
Anoxia,Pathological Conditions,DCD
Obesity,Nutritional and Metabolic ; Pathological Conditions,DGKG
Neoplasm-Residual, Pathological Conditions,ELMO1
Precursor Cell Lymphoblastic Leukemia-Lymphoma, Hemic and Lymphatic ; Immune System ,ELMO1
Recurrence,Pathological Conditions,ELMO1
Diabetic Nephropathies,Urogenital; Endocrine System ,ELMO1
Glioma,Neoplasms,ELMO1
Obesity,Nutritional and Metabolic ; Pathological Conditions,ETV5
Prostatic Neoplasms, Male Urogenital ,ETV5
Breast Neoplasms, Skin and Connective Tissue ,ETV5
Endometrial Neoplasms, Female Urogenital,ETV5
Obesity,Nutritional and Metabolic ; Pathological Conditions,FAIM2
Obesity,Nutritional and Metabolic ; Pathological Conditions,KCTD15
Obesity,Nutritional and Metabolic ; Pathological Conditions,MC4R
Insulin Resistance,Nutritional and Metabolic ,MC4R
Coronary Artery Disease,Cardiovascular ,MC4R
Bulimia,Pathological Conditions,MC4R
Metabolic Syndrome X,Nutritional and Metabolic ,MC4R
Obesity-Morbid,Nutritional and Metabolic ; Pathological Conditions,MC4R
Weight Loss,Pathological Conditions,MC4R
Weight Gain,Pathological Conditions,MC4R
Overweight,Pathological Conditions,MC4R
Atherosclerosis,Cardiovascular ,MC4R
FATTY LIVER DISEASE-NONALCOHOLIC-SUSCEPTIBILITY TO-1,Digestive System ,MC4R
Hypertension,Cardiovascular ,MC4R
Hyperandrogenism,Urogenital; Congenital-Hereditary-and Neonatal  and Abnormalities; Endocrine System ,MC4R
Bulimia Nervosa,Mental Disorders,MC4R
Spasms-Infantile,Nervous System ,MC4R
Malaria,Parasitic ,NCR3
Obesity,Nutritional and Metabolic ; Pathological Conditions,NCR3
Multiple Myeloma, Cardiovascular ; Hemic and Lymphatic ; Immune System ,NCR3
Abortion-Spontaneous,Female Urogenital,NCR3
Obesity,Nutritional and Metabolic ; Pathological Conditions,NEGR1
Lupus Erythematosus-Systemic,Skin and Connective Tissue ; Immune System ,NEGR1
Cardiovascular Diseases,Cardiovascular ,NEGR1
Hyperinsulinism,Nutritional and Metabolic ,PPP2R2C
Insulin Resistance,Nutritional and Metabolic ,PPP2R2C
BRITTLE CORNEA SYNDROME 2,Unclassified,PRDM5
Cardiovascular Diseases,Cardiovascular ,PRDM5
Gastrointestinal Neoplasms, Digestive System ,PRDM5
Obesity,Nutritional and Metabolic ; Pathological Conditions,RASAL2
Obesity,Nutritional and Metabolic ; Pathological Conditions,SEC16B
Obesity,Nutritional and Metabolic ; Pathological Conditions,TRA2B
Neoplasms,Neoplasms,TRA2B
Muscular Atrophy-Spinal,Nervous System ,TRA2B
Obesity,Nutritional and Metabolic ; Pathological Conditions,SH2B1
Hyperalgesia,Nervous System ; Pathological Conditions,SYN2
Schizophrenia,Mental Disorders,SYN2
Seizures,Nervous System ; Pathological Conditions,SYN2
Cardiovascular Diseases,Cardiovascular ,TMEFF2
Stomach Neoplasms, Digestive System ,TMEFF2
Colorectal Neoplasms, Digestive System ,TMEFF2
Adenocarcinoma,Neoplasms,TMEFF2
Urinary Bladder Neoplasms, Urogenital,TMEFF2
Esophageal Neoplasms, Digestive System ,TMEFF2
Barrett Esophagus,Digestive System ,TMEFF2
Obesity,Nutritional and Metabolic ; Pathological Conditions,TMEM18
Glioma,Neoplasms,TMEM18
Cardiovascular Diseases,Cardiovascular ,ZMAT4
Neoplasm-Residual, Pathological Conditions,DGKB
Precursor Cell Lymphoblastic Leukemia-Lymphoma, Hemic and Lymphatic ; Immune System ,DGKB
Recurrence,Pathological Conditions,DGKB
Coronary Disease,Cardiovascular ,MADD
Epilepsy,Nervous System ,ADRA2A
Heart Diseases,Cardiovascular ,ADRA2A
Hypertension,Cardiovascular ,ADRA2A
Hypotension,Cardiovascular ,ADRA2A
Panic Disorder,Mental Disorders,ADRA2A
Impulse Control Disorders,Mental Disorders,ADRA2A
Personality Disorders,Mental Disorders,ADRA2A
Attention Deficit Disorder with Hyperactivity,Mental Disorders,ADRA2A
Tourette Syndrome,Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities; Mental Disorders,ADRA2A
Mental Disorders,Mental Disorders,ADRA2A
Irritable Bowel Syndrome,Digestive System ,ADRA2A
Constipation,Pathological Conditions,ADRA2A
Obesity,Nutritional and Metabolic ; Pathological Conditions,ADRA2A
Thinness,Pathological Conditions,ADRA2A
Insulin Resistance,Nutritional and Metabolic ,ADRA2A
Motion Sickness,Pathological Conditions,ADRA2A
Stomach Neoplasms, Digestive System ,FADS1
Rhinitis,Respiratory Tract ; Otorhinolaryngologic ,FADS1
Dermatitis-Atopic,Congenital-Hereditary-and Neonatal  and Abnormalities; Skin and Connective Tissue ; Immune System ,FADS1
Hypersensitivity,Immune System ,FADS1
Dyslipidemias,Nutritional and Metabolic ,FADS1
Syndrome,Pathological Conditions,FADS1
Cardiovascular Diseases,Cardiovascular ,FADS1
Leukemia-Myelogenous-Chronic-BCR-ABL Positive, Hemic and Lymphatic ,CRY2
Carcinoma,Neoplasms,CRY2
Cardiovascular Diseases,Cardiovascular ,GIPR
Cushing Syndrome,Endocrine System ,GIPR
Nervous System Diseases,Nervous System ,NFATC2
Edema,Pathological Conditions,NFATC2
Down Syndrome,Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities,NFATC2
Carcinoma,Neoplasms,NFATC2
Breast Neoplasms, Skin and Connective Tissue ,NFATC2
Lymphoma, Hemic and Lymphatic ; Immune System ,NFATC2
Leukemia,Neoplasms,NFATC2
Burkitt Lymphoma,Virus ;  Hemic and Lymphatic ; Immune System ,NFATC2
Anemia-Aplastic,Hemic and Lymphatic ,NFATC2
Colitis,Digestive System ,NFATC2
Carcinoma-Basal Cell,Neoplasms,ASIP
Melanoma,Neoplasms,ASIP
Skin Neoplasms, Skin and Connective Tissue ,ASIP
Melanosis,Skin and Connective Tissue ,ASIP
Obesity,Nutritional and Metabolic ; Pathological Conditions,ASIP
ABDOMINAL OBESITY-METABOLIC SYNDROME,Nutritional and Metabolic ,ASIP
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,ASIP
Liver Neoplasms, Digestive System ,ASIP
Neoplasms,Neoplasms,ASIP
Pigmentation Disorders,Skin and Connective Tissue ,ASIP
Carcinoma-Hepatocellular, Digestive System ,ASIP
Hypotension,Cardiovascular ,CTF1
ABDOMINAL OBESITY-METABOLIC SYNDROME,Nutritional and Metabolic ,CTF1
Heart Failure,Cardiovascular ,CTF1
Metabolic Syndrome X,Nutritional and Metabolic ,CTF1
Polycystic Ovary Syndrome, Female Urogenital; Endocrine System ,FEM1B
Leiomyosarcoma,Neoplasms,HMGA1
Uterine Neoplasms, Female Urogenital,HMGA1
Neoplasm Metastasis, Pathological Conditions,HMGA1
Breast Neoplasms, Skin and Connective Tissue ,HMGA1
Adenocarcinoma,Neoplasms,HMGA1
Carcinoma-Hepatocellular, Digestive System ,HMGA1
Lymphoma, Hemic and Lymphatic ; Immune System ,HMGA1
Anoxia,Pathological Conditions,HMGA1
Pituitary Neoplasms, Nervous System ; Endocrine System ,HMGA1
Ovarian Neoplasms, Female Urogenital; Endocrine System ,HMGA1
Leukemia,Neoplasms,HMGA1
Hyperkinesis,Nervous System ; Pathological Conditions,HTR2C
Metabolic Syndrome X,Nutritional and Metabolic ,HTR2C
Obesity,Nutritional and Metabolic ; Pathological Conditions,HTR2C
Substance Withdrawal Syndrome,Substance-Related Disorders; Mental Disorders,HTR2C
Weight Gain,Pathological Conditions,HTR2C
Seasonal Affective Disorder,Mental Disorders,HTR2C
Akathisia-Drug-Induced,Nervous System ; Pathological Conditions; Substance-Related Disorders,HTR2C
Chronic Disease,Pathological Conditions,HTR2C
Schizophrenia,Mental Disorders,HTR2C
Weight Loss,Pathological Conditions,HTR2C
Dyskinesia-Drug-Induced,Nervous System ; Substance-Related Disorders,HTR2C
Attention Deficit Disorder with Hyperactivity,Mental Disorders,HTR2C
Prader-Willi Syndrome,Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,HTR2C
Alzheimer Disease,Nervous System ; Mental Disorders,HTR2C
Anorexia Nervosa,Mental Disorders,HTR2C
Bulimia Nervosa,Mental Disorders,HTR2C
Migraine with Aura,Nervous System ,HTR2C
MATURITY-ONSET DIABETES OF THE YOUNG,Nutritional and Metabolic ; Endocrine System ,MAFA
Burkitt Lymphoma,Virus ;  Hemic and Lymphatic ; Immune System ,PBX1
Substance-Related Disorders,Substance-Related Disorders; Mental Disorders,PBX1
Carcinoma-Squamous Cell,Neoplasms,PBX1
Prostatic Neoplasms, Male Urogenital ,PBX1
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,PBX1
Ovarian Neoplasms, Female Urogenital; Endocrine System ,PBX1
Leukemia,Neoplasms,PBX1
Precursor Cell Lymphoblastic Leukemia-Lymphoma, Hemic and Lymphatic ; Immune System ,PBX1
Leukemia-Lymphoid, Hemic and Lymphatic ; Immune System ,PBX1
FIBROSIS OF EXTRAOCULAR MUSCLES-CONGENITAL-2,Pathological Conditions; Nervous System ; Eye ,PHOX2A
Hypertension,Cardiovascular ,PHOX2A
Mental Retardation-X-Linked,Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities,PHOX2A
Epilepsy,Nervous System ,PHOX2A
Fibrosis,Pathological Conditions,PHOX2A
Prostatic Neoplasms, Male Urogenital ,CAPN1
Alzheimer Disease,Nervous System ; Mental Disorders,CAPN1
Anoxia,Pathological Conditions,CAPN1
Muscular Dystrophy-Duchenne,Musculoskeletal ; Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities,CAPN1
Barrett Esophagus,Digestive System ,HGF
Carcinoma-Hepatocellular, Digestive System ,HGF
Carcinoma-Squamous Cell,Neoplasms,HGF
Cardiomyopathies,Cardiovascular ,HGF
DEAFNESS-AUTOSOMAL RECESSIVE 39,Otorhinolaryngologic ; Nervous System ; Pathological Conditions,HGF
Liver Cirrhosis,Digestive System ,HGF
Liver Cirrhosis-Experimental,Digestive System ,HGF
Liver Failure-Acute,Digestive System ,HGF
Liver Neoplasms, Digestive System ,HGF
Liver Neoplasms-Experimental, Digestive System ,HGF
Myocardial Ischemia,Cardiovascular ,HGF
Neoplasms-Experimental,Neoplasms,HGF
Neuroblastoma,Neoplasms,HGF
Parkinson Disease,Nervous System ,HGF
Pulmonary Fibrosis,Respiratory Tract ,HGF
Reperfusion Injury,Cardiovascular ; Pathological Conditions,HGF
Thrombosis,Cardiovascular ,HGF
Vascular Diseases,Cardiovascular ,HGF
Wounds-Penetrating,Wounds and Injuries,HGF
Carotid Artery Diseases,Nervous System ; Cardiovascular ,HGF
Hypertension,Cardiovascular ,HGF
Disease Progression,Pathological Conditions,HGF
Obesity,Nutritional and Metabolic ; Pathological Conditions,HGF
Myopia-Degenerative,Eye ,HGF
Carcinoma,Neoplasms,HGF
Neoplasm Metastasis, Pathological Conditions,HGF
Prostatic Neoplasms, Male Urogenital ,HGF
Colorectal Neoplasms, Digestive System ,HGF
Breast Neoplasms, Skin and Connective Tissue ,HGF
Neoplasms,Neoplasms,HGF
Hyperplasia,Pathological Conditions,HGF
Adenocarcinoma,Neoplasms,HGF
Pancreatic Neoplasms, Digestive System ; Endocrine System ,HGF
Glioma,Neoplasms,HGF
Lymphoma, Hemic and Lymphatic ; Immune System ,HGF
Melanoma,Neoplasms,HGF
Glioblastoma,Neoplasms,HGF
Anoxia,Pathological Conditions,HGF
Hearing Loss,Otorhinolaryngologic ; Nervous System ; Pathological Conditions,HGF
Mucocutaneous Lymph Node Syndrome,Cardiovascular ; Hemic and Lymphatic ; Skin and Connective Tissue ,HGF
Inflammation,Pathological Conditions,HGF
Osteoporosis,Musculoskeletal ,HGF
Endometriosis,Female Urogenital,HGF
Multiple Myeloma, Cardiovascular ; Hemic and Lymphatic ; Immune System ,HGF
Leukemia-Myeloid-Acute,Neoplasms,HGF
Ovarian Neoplasms, Female Urogenital; Endocrine System ,HGF
Myocardial Infarction,Cardiovascular ,HGF
Pulmonary Disease-Chronic Obstructive,Respiratory Tract ,HGF
Osteosarcoma,Neoplasms,HGF
Hodgkin Disease, Hemic and Lymphatic ; Immune System ,HGF
Arthritis,Musculoskeletal ,HGF
Lymphoma-Non-Hodgkin, Hemic and Lymphatic ; Immune System ,HGF
Leukemia-Lymphoma-Adult T-Cell, Hemic and Lymphatic ; Immune System ,HGF
Periodontal Diseases,Stomatognathic ,HGF
Adenoma,Neoplasms,HGF
Nasopharyngeal Neoplasms, Stomatognathic ; Otorhinolaryngologic ,HGF
Fibrosis,Pathological Conditions,HGF
Scleroderma-Systemic,Skin and Connective Tissue ,HGF
Hepatitis-Alcoholic,Digestive System ; Substance-Related Disorders,HGF
Acute Coronary Syndrome,Cardiovascular ; Pathological Conditions,HGF
Systemic Inflammatory Response Syndrome,Pathological Conditions,HGF
Liver Cirrhosis-Biliary,Digestive System ,HGF
Bacterial Infections,Bacterial Infections and Mycoses,HGF
Amyotrophic Lateral Sclerosis,Nervous System ; Nutritional and Metabolic ,HGF
Hepatitis-Chronic,Digestive System ,HGF
Carcinoma-Intraductal-Noninfiltrating,Neoplasms,HGF
Medulloblastoma,Neoplasms,HGF
Alveolar Bone Loss,Musculoskeletal ; Stomatognathic ,HGF
Small Cell Lung Carcinoma, Respiratory Tract ,HGF
Cholangitis,Digestive System ,HGF
Brain Injuries,Nervous System ; Wounds and Injuries,HGF
Lymphedema,Hemic and Lymphatic ,HGF
Lupus Nephritis,Urogenital; Skin and Connective Tissue ; Immune System ,HGF
Cerebral Infarction,Nervous System ; Cardiovascular ,HGF
Gliosis,Pathological Conditions,HGF
Pneumonia,Respiratory Tract ,HGF
Emphysema,Pathological Conditions,HGF
Retinal Neovascularization,Eye ; Pathological Conditions,HGF
Pulmonary Embolism,Respiratory Tract ; Cardiovascular ,HGF
Cholesteatoma,Skin and Connective Tissue ,HGF
Skin Ulcer,Skin and Connective Tissue ,HGF
Moyamoya Disease,Nervous System ; Cardiovascular ,HGF
Brain Infarction,Nervous System ; Cardiovascular ,FGF2
Brain Injuries,Nervous System ; Wounds and Injuries,FGF2
Cardiomegaly,Cardiovascular ; Pathological Conditions,FGF2
Cleft Lip,Stomatognathic ; Congenital-Hereditary-and Neonatal  and Abnormalities,FGF2
Cleft Palate,Musculoskeletal ; Stomatognathic ; Congenital-Hereditary-and Neonatal  and Abnormalities,FGF2
Cocaine-Related Disorders,Substance-Related Disorders; Mental Disorders,FGF2
Corneal Neovascularization,Eye ,FGF2
Depressive Disorder,Mental Disorders,FGF2
Disease Progression,Pathological Conditions,FGF2
Epilepsy-Tonic-Clonic,Nervous System ,FGF2
Glioma,Neoplasms,FGF2
Gliosis,Pathological Conditions,FGF2
Hernia-Hiatal,Pathological Conditions,FGF2
Inflammation,Pathological Conditions,FGF2
Kidney Diseases,Urogenital,FGF2
Liver Cirrhosis,Digestive System ,FGF2
Liver Cirrhosis-Experimental,Digestive System ,FGF2
Mesothelioma,Neoplasms,FGF2
Myocardial Ischemia,Cardiovascular ,FGF2
Nephrotic Syndrome,Urogenital,FGF2
Nerve Degeneration,Pathological Conditions,FGF2
Oral Submucous Fibrosis,Stomatognathic ,FGF2
Periapical Periodontitis,Stomatognathic ,FGF2
Prenatal Exposure Delayed Effects,Female Urogenital,FGF2
Prostatic Neoplasms, Male Urogenital ,FGF2
Pulmonary Fibrosis,Respiratory Tract ,FGF2
Reperfusion Injury,Cardiovascular ; Pathological Conditions,FGF2
Seizures,Nervous System ; Pathological Conditions,FGF2
Wounds and Injuries,Wounds and Injuries,FGF2
Carcinoma-Squamous Cell,Neoplasms,FGF2
Neoplasm Metastasis, Pathological Conditions,FGF2
Colorectal Neoplasms, Digestive System ,FGF2
Breast Neoplasms, Skin and Connective Tissue ,FGF2
Neoplasms,Neoplasms,FGF2
Hyperplasia,Pathological Conditions,FGF2
Thyroid Neoplasms, Endocrine System ,FGF2
Adenocarcinoma,Neoplasms,FGF2
Pancreatic Neoplasms, Digestive System ; Endocrine System ,FGF2
Carcinoma-Adenoid Cystic,Neoplasms,FGF2
Carcinoma-Hepatocellular, Digestive System ,FGF2
Lymphoma, Hemic and Lymphatic ; Immune System ,FGF2
Melanoma,Neoplasms,FGF2
Recurrence,Pathological Conditions,FGF2
Inflammatory Bowel Diseases,Digestive System ,FGF2
Multiple Myeloma, Cardiovascular ; Hemic and Lymphatic ; Immune System ,FGF2
Leukemia-Myeloid-Acute,Neoplasms,FGF2
Leukemia,Neoplasms,FGF2
Osteosarcoma,Neoplasms,FGF2
Hodgkin Disease, Hemic and Lymphatic ; Immune System ,FGF2
Urinary Bladder Neoplasms, Urogenital,FGF2
Arthritis,Musculoskeletal ,FGF2
Lymphoma-Non-Hodgkin, Hemic and Lymphatic ; Immune System ,FGF2
Esophageal Neoplasms, Digestive System ,FGF2
Purpura-Thrombocytopenic-Idiopathic,Hemic and Lymphatic ; Immune System ; Pathological Conditions,FGF2
Leukemia-Lymphocytic-Chronic-B-Cell, Hemic and Lymphatic ; Immune System ,FGF2
Heart Failure,Cardiovascular ,FGF2
Fibrosis,Pathological Conditions,FGF2
Scleroderma-Systemic,Skin and Connective Tissue ,FGF2
Hepatitis C-Chronic,Virus ; Digestive System ,FGF2
Asthma,Respiratory Tract ; Immune System ,FGF2
Anemia,Hemic and Lymphatic ,FGF2
Primary Myelofibrosis,Hemic and Lymphatic ,FGF2
Prostatic Hyperplasia,Male Urogenital ,FGF2
Myeloproliferative Disorders,Hemic and Lymphatic ,FGF2
Meningioma, Nervous System ,FGF2
Leiomyoma,Neoplasms,FGF2
Myoma,Neoplasms,FGF2
Scoliosis,Musculoskeletal ,FGF2
Carcinoma-Non-Small-Cell Lung, Respiratory Tract ,FGF2
Lymphoma-Primary Effusion, Hemic and Lymphatic ; Immune System ,FGF2
Diabetic Retinopathy,Eye ; Cardiovascular ; Endocrine System ,FGF2
Nephritis,Urogenital,FGF2
Cerebral Infarction,Nervous System ; Cardiovascular ,FGF2
Cholesteatoma,Skin and Connective Tissue ,FGF2
Radicular Cyst, Musculoskeletal ; Stomatognathic ,FGF2
Breast Neoplasms, Skin and Connective Tissue ,TNFSF10
Carcinoma-Hepatocellular, Digestive System ,TNFSF10
Colonic Neoplasms, Digestive System ,TNFSF10
Colorectal Neoplasms, Digestive System ,TNFSF10
Endometrial Neoplasms, Female Urogenital,TNFSF10
Glioblastoma,Neoplasms,TNFSF10
Glioma,Neoplasms,TNFSF10
Kidney Neoplasms, Urogenital,TNFSF10
Leukemia-Myeloid-Acute,Neoplasms,TNFSF10
Liver Neoplasms, Digestive System ,TNFSF10
Mammary Neoplasms-Experimental,Neoplasms,TNFSF10
Neoplasms-Experimental,Neoplasms,TNFSF10
Neovascularization-Pathologic,Pathological Conditions,TNFSF10
Ovarian Neoplasms, Female Urogenital; Endocrine System ,TNFSF10
Pancreatic Neoplasms, Digestive System ; Endocrine System ,TNFSF10
Prostatic Neoplasms, Male Urogenital ,TNFSF10
Hodgkin Disease, Hemic and Lymphatic ; Immune System ,TNFSF10
Leukemia-Lymphocytic-Chronic-B-Cell, Hemic and Lymphatic ; Immune System ,TNFSF10
Lymphoproliferative Disorders,Hemic and Lymphatic ; Immune System ,TNFSF10
Waldenstrom Macroglobulinemia, Cardiovascular ; Hemic and Lymphatic ; Immune System ,TNFSF10
Lung Neoplasms, Respiratory Tract ,TNFSF10
Carcinoma,Neoplasms,TNFSF10
Alzheimer Disease,Nervous System ; Mental Disorders,TNFSF10
Neoplasms,Neoplasms,TNFSF10
Hyperplasia,Pathological Conditions,TNFSF10
Neuroblastoma,Neoplasms,TNFSF10
Thyroid Neoplasms, Endocrine System ,TNFSF10
Adenocarcinoma,Neoplasms,TNFSF10
Infection,Bacterial Infections and Mycoses,TNFSF10
Lymphoma, Hemic and Lymphatic ; Immune System ,TNFSF10
Melanoma,Neoplasms,TNFSF10
Multiple Sclerosis,Nervous System ; Immune System ,TNFSF10
Anoxia,Pathological Conditions,TNFSF10
HIV Infections,Virus ; Immune System ,TNFSF10
Inflammation,Pathological Conditions,TNFSF10
Multiple Myeloma, Cardiovascular ; Hemic and Lymphatic ; Immune System ,TNFSF10
Myelodysplastic Syndromes,Hemic and Lymphatic ,TNFSF10
Cardiomyopathy-Dilated,Cardiovascular ,TNFSF10
Down Syndrome,Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities,TNFSF10
Leukemia,Neoplasms,TNFSF10
Cholangiocarcinoma,Neoplasms,TNFSF10
Astrocytoma,Neoplasms,TNFSF10
Urinary Bladder Neoplasms, Urogenital,TNFSF10
Atherosclerosis,Cardiovascular ,TNFSF10
Lupus Erythematosus-Systemic,Skin and Connective Tissue ; Immune System ,TNFSF10
Adenoma,Neoplasms,TNFSF10
Death,Pathological Conditions,TNFSF10
Leukemia-T-Cell, Hemic and Lymphatic ; Immune System ,TNFSF10
Influenza-Human,Virus ; Respiratory Tract ,TNFSF10
Sarcoma,Neoplasms,TNFSF10
Pancreatitis-Chronic,Digestive System ,TNFSF10
Diabetic Nephropathies,Urogenital; Endocrine System ,TNFSF10
Hepatitis B-Chronic,Virus ; Digestive System ,TNFSF10
Liver Cirrhosis-Biliary,Digestive System ,TNFSF10
Anemia,Hemic and Lymphatic ,TNFSF10
Spondylitis-Ankylosing,Musculoskeletal ,TNFSF10
Hepatitis C,Virus ; Digestive System ,TNFSF10
Hepatitis-Chronic,Digestive System ,TNFSF10
Precursor Cell Lymphoblastic Leukemia-Lymphoma, Hemic and Lymphatic ; Immune System ,TNFSF10
Medulloblastoma,Neoplasms,TNFSF10
Precursor T-Cell Lymphoblastic Leukemia-Lymphoma, Hemic and Lymphatic ; Immune System ,TNFSF10
Lymphoma-T-Cell-Cutaneous, Hemic and Lymphatic ; Immune System ,TNFSF10
Dengue,Virus ,TNFSF10
Meningitis,Nervous System ,TNFSF10
Sarcoma-Ewing,Neoplasms,TNFSF10
Nephrosis,Urogenital,TNFSF10
Newcastle Disease,Virus ; Animal ,TNFSF10
ATRANSFERRINEMIA,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,TF
Alcoholism,Substance-Related Disorders; Mental Disorders,TF
Alzheimer Disease,Nervous System ; Mental Disorders,TF
Anemia-hypochromic microcytic,Hemic and Lymphatic ,TF
Autistic Disorder,Mental Disorders,TF
Familial hypotransferrinemia,Unclassified,TF
Drug-Induced Liver Injury,Digestive System ; Substance-Related Disorders,TF
Iron Overload,Nutritional and Metabolic ,TF
Nephrotic Syndrome,Urogenital,TF
